model,source,case_id,red_variant,scenario_id,scenario_seed,return_code,reward_mean,hallucination_rate,elapsed
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-aggressive__blue-s1,aggressive,scenario_1,101,0,-3684,0.2725450901803607,0:46:26.349819
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-aggressive__blue-s2,aggressive,scenario_2,102,0,-4297,0.2955911823647295,0:46:53.996014
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-aggressive__blue-s3,aggressive,scenario_3,103,0,-3843.5,0.23246492985971945,0:46:39.617434
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-aggressive__blue-s4,aggressive,scenario_4,104,0,-2716,0.2124248496993988,0:45:12.089989
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-stealthy__blue-s1,stealthy,scenario_1,101,0,-2419.5,0.19739478957915832,0:45:52.665779
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-stealthy__blue-s2,stealthy,scenario_2,102,0,-3580,0.19238476953907815,0:45:21.057437
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-stealthy__blue-s3,stealthy,scenario_3,103,0,-3945,0.24549098196392785,0:46:47.514635
deepseek-r1-1.5b,deepseek_steps1_7_plus_step8_20260416,red-stealthy__blue-s4,stealthy,scenario_4,104,0,-19.033333333333335,0.3724137931034483,0:25:50.552136
qwen2.5-7b,qwen_full_30x30_20260416,red-aggressive__blue-s1,aggressive,scenario_1,101,0,-15.2,0.028735632183908046,0:08:02.625368
qwen2.5-7b,qwen_full_30x30_20260416,red-aggressive__blue-s2,aggressive,scenario_2,102,0,-12.8,0.0367816091954023,0:07:46.863348
qwen2.5-7b,qwen_full_30x30_20260416,red-aggressive__blue-s3,aggressive,scenario_3,103,0,-15.066666666666666,0.02528735632183908,0:07:47.288074
qwen2.5-7b,qwen_full_30x30_20260416,red-aggressive__blue-s4,aggressive,scenario_4,104,0,-12.9,0.02413793103448276,0:07:41.679252
qwen2.5-7b,qwen_full_30x30_20260416,red-stealthy__blue-s1,stealthy,scenario_1,101,0,-10.1,0.027586206896551724,0:07:30.631206
qwen2.5-7b,qwen_full_30x30_20260416,red-stealthy__blue-s2,stealthy,scenario_2,102,0,-13.233333333333333,0.029885057471264367,0:07:36.981754
qwen2.5-7b,qwen_full_30x30_20260416,red-stealthy__blue-s3,stealthy,scenario_3,103,0,-11.2,0.01264367816091954,0:07:34.302224
qwen2.5-7b,qwen_full_30x30_20260416,red-stealthy__blue-s4,stealthy,scenario_4,104,0,-10.966666666666667,0.02528735632183908,0:07:38.723490
